Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Adeline Resplendent Cathar, W, R, 7485, 1.51, 4931, 1.49, 26422, 59.1, 4764, 66.8, 8346, 64.5, 13110, 65.3, 14268, 54.1, 11.2
Ambitious Farmhand, W, U, 41021, 2.68, 15715, 3.05, 76690, 58.4, 15643, 61.6, 25249, 61.0, 40892, 61.3, 39952, 56.0, 5.3
Beloved Beggar, W, U, 56913, 3.65, 12629, 4.66, 53036, 55.9, 10490, 54.9, 16551, 55.1, 27041, 55.0, 28030, 56.5, -1.4
Bereaved Survivor, W, U, 59317, 3.79, 9315, 5.27, 34564, 53.3, 6453, 50.2, 10571, 51.9, 17024, 51.2, 18707, 54.9, -3.6
Blessed Defiance, W, C, 278464, 7.24, 42258, 10.07, 81558, 58.0, 15902, 57.7, 27884, 59.3, 43786, 58.7, 41840, 57.3, 1.4
Borrowed Time, W, U, 37538, 2.42, 14597, 2.78, 70878, 57.4, 13442, 56.9, 21740, 60.1, 35182, 58.9, 37644, 56.0, 2.8
Brutal Cathar, WR, R, 7279, 1.44, 5134, 1.42, 28028, 59.6, 5097, 64.7, 8995, 66.0, 14092, 65.5, 15027, 54.5, 11.0
Candlegrove Witch, W, C, 222054, 4.92, 44787, 6.63, 149641, 56.4, 38611, 57.2, 58009, 55.9, 96620, 56.4, 69465, 56.2, 0.2
Candletrap, W, C, 223493, 5.05, 32791, 7.24, 99192, 55.8, 21226, 53.8, 34632, 56.9, 55858, 55.7, 49931, 55.7, 0.0
Cathar Commando, W, C, 239896, 5.44, 36162, 7.85, 121132, 56.2, 27222, 56.2, 41500, 56.4, 68722, 56.3, 60674, 56.1, 0.2
Cathar's Call, W, U, 72946, 4.92, 6648, 8.02, 12077, 52.0, 2125, 49.5, 3396, 51.3, 5521, 50.6, 6782, 53.1, -2.5
Celestus Sanctifier, W, C, 273831, 7.01, 33170, 10.33, 40560, 53.9, 8051, 52.1, 13081, 52.9, 21132, 52.6, 21282, 55.0, -2.4
Chaplain of Alms, W, U, 51620, 3.28, 13757, 4.11, 65168, 57.3, 12957, 58.9, 19439, 57.0, 32396, 57.8, 34962, 56.7, 1.1
Clarion Cathars, W, C, 250660, 5.87, 36521, 8.42, 95268, 56.3, 19336, 57.2, 33187, 57.5, 52523, 57.4, 49193, 55.2, 2.2
Curse of Silence, W, R, 31550, 5.71, 4380, 8.61, 66, , 11, , 11, , 22, , 44, , 
Duelcraft Trainer, W, U, 42025, 2.72, 15131, 3.15, 71910, 57.2, 13583, 59.2, 23117, 59.8, 36700, 59.6, 38419, 54.9, 4.7
Enduring Angel, W, M, 3751, 1.46, 2409, 1.45, 12254, 57.8, 2029, 59.2, 3862, 61.9, 5891, 61.0, 6696, 55.1, 5.9
Fateful Absence, W, R, 9271, 1.86, 3886, 1.93, 18362, 55.2, 3117, 54.6, 5193, 56.4, 8310, 55.7, 10238, 54.7, 1.0
Flare of Faith, W, C, 268859, 6.70, 34702, 9.82, 80682, 55.5, 14724, 53.5, 24864, 55.3, 39588, 54.6, 43780, 56.1, -1.5
Gavony Dawnguard, W, U, 43360, 2.73, 15176, 3.18, 72997, 57.6, 14432, 60.6, 23938, 59.3, 38370, 59.8, 38726, 56.2, 3.6
Gavony Silversmith, W, C, 193665, 4.22, 41141, 5.63, 148307, 56.6, 33381, 56.9, 56394, 57.6, 89775, 57.3, 71988, 55.8, 1.6
Gavony Trapper, W, C, 233017, 5.29, 43032, 7.23, 155621, 57.0, 32832, 57.2, 52973, 57.8, 85805, 57.5, 78501, 56.2, 1.3
Hedgewitch's Mask, W, C, 288038, 8.32, 29677, 12.24, 7299, 51.9, 1176, 46.6, 1914, 49.1, 3090, 48.1, 4248, 54.4, -6.3
Homestead Courage, W, C, 269666, 6.80, 34131, 9.97, 58242, 55.0, 10973, 53.2, 17640, 53.7, 28613, 53.5, 31649, 56.1, -2.6
Intrepid Adversary, W, M, 3252, 1.33, 2352, 1.32, 11984, 57.9, 2143, 57.1, 3685, 64.8, 5828, 62.0, 6503, 54.5, 7.5
Loyal Gryff, W, U, 62261, 3.81, 13038, 5.05, 57824, 56.4, 11048, 55.8, 18411, 57.4, 29459, 56.8, 30613, 55.9, 0.9
Lunarch Veteran, W, C, 203349, 4.52, 47631, 5.72, 161725, 58.1, 41883, 62.6, 64846, 59.4, 106729, 60.7, 74552, 55.5, 5.2
Mourning Patrol, W, C, 223772, 4.94, 43225, 6.76, 147991, 56.7, 34994, 55.7, 56715, 56.9, 91709, 56.4, 70865, 56.9, -0.4
Odric's Outrider, W, U, 50888, 3.21, 11668, 4.03, 50121, 54.7, 9212, 53.3, 15655, 55.0, 24867, 54.4, 27292, 54.7, -0.3
Ritual Guardian, W, C, 269422, 6.78, 31406, 10.10, 48628, 53.8, 9460, 52.2, 15415, 52.2, 24875, 52.2, 26100, 55.0, -2.8
Ritual of Hope, W, U, 83837, 5.39, 13458, 7.57, 41967, 56.3, 6947, 53.9, 12169, 56.5, 19116, 55.6, 23520, 56.9, -1.3
Search Party Captain, W, C, 205505, 4.47, 47783, 5.87, 164874, 57.2, 41015, 57.9, 68123, 59.4, 109138, 58.8, 78049, 55.9, 2.9
Sigarda's Splendor, W, R, 14659, 2.90, 3711, 3.28, 12053, 52.8, 1999, 49.5, 3358, 52.2, 5357, 51.2, 6772, 54.2, -3.0
Sigardian Savior, W, M, 3663, 1.40, 2461, 1.38, 12397, 56.4, 2058, 55.8, 3624, 60.6, 5682, 58.9, 6898, 54.5, 4.3
Soul-Guide Gryff, W, C, 245424, 5.68, 36350, 8.23, 110129, 55.7, 20196, 54.6, 39542, 56.6, 59738, 55.9, 57133, 55.3, 0.6
Sungold Barrage, W, C, 254996, 6.29, 25601, 9.75, 46574, 54.4, 8055, 53.1, 14067, 55.8, 22122, 54.8, 25537, 54.0, 0.8
Sungold Sentinel, W, R, 9022, 1.77, 4947, 1.81, 25425, 57.2, 4607, 60.8, 7558, 60.0, 12165, 60.3, 13889, 54.9, 5.4
Sunset Revelry, W, U, 77160, 5.04, 9138, 7.83, 18950, 54.7, 3547, 53.7, 5618, 55.1, 9165, 54.6, 10290, 54.7, -0.1
Thraben Exorcism, W, C, 291072, 8.67, 30452, 12.62, 1773, 49.1, 266, 42.1, 525, 47.8, 791, 45.9, 1000, 51.4, -5.5
Unruly Mob, W, C, 246673, 5.88, 27937, 8.92, 61205, 53.8, 13722, 51.5, 21492, 53.1, 35214, 52.4, 30551, 55.0, -2.6
Vanquish the Horde, W, R, 10031, 2.08, 5035, 2.08, 22403, 57.9, 3845, 58.8, 6862, 62.3, 10707, 61.0, 11983, 55.3, 5.7
Baithook Angler, U, C, 215427, 4.74, 61276, 6.02, 220336, 57.6, 57531, 58.4, 89507, 57.4, 147038, 57.8, 99648, 57.2, 0.6
Component Collector, U, C, 282138, 7.71, 36604, 11.15, 25529, 51.1, 4901, 48.5, 8785, 51.3, 13686, 50.3, 13109, 51.7, -1.4
Consider, U, C, 261098, 6.20, 48774, 8.62, 125379, 56.4, 28840, 56.2, 47525, 57.4, 76365, 56.9, 59973, 56.1, 0.9
Covetous Castaway, U, U, 53375, 3.43, 19430, 4.06, 92392, 57.4, 18799, 56.9, 29261, 56.8, 48060, 56.8, 48336, 57.7, -0.9
Curse of Surveillance, U, R, 17241, 3.31, 5318, 3.73, 19779, 52.9, 3357, 51.9, 6042, 53.2, 9399, 52.8, 10532, 53.0, -0.3
Delver of Secrets, U, U, 69468, 4.65, 11099, 6.50, 30872, 55.2, 6699, 64.0, 11326, 55.3, 18025, 58.5, 15130, 51.9, 6.6
