Card,Wins,Losses
Search Party Captain,93,45
Ritual Guardian,83,38
Gavony Trapper,81,40
Defenestrate,61,30
Duel for Dominance,55,34
Dawnhart Rejuvenator,7,6
Bladebrand,18,10
Candlegrove Witch,75,27
Mourning Patrol,58,20
Celestus Sanctifier,47,10
Evolving Wilds,53,21
Olivia's Midnight Ambush,66,18
Arrogant Outlaw,28,19
Lunarch Veteran,55,21
Gavony Silversmith,59,27
Snarling Wolf,2,3
Rotten Reunion,24,12
Odric's Outrider,46,25
Tireless Hauler,29,17
Moonrager's Slash,43,19
Immolation,2,6
Siege Zombie,50,17
Revenge of the Drowned,44,28
Clarion Cathars,19,6
Blessed Defiance,14,7
Shadowbeast Sighting,45,18
Might of the Old Ways,11,9
Tavern Ruffian,17,8
Neonate's Rush,10,10
Hobbling Zombie,25,23
Eaten Alive,22,12
Candletrap,24,9
Bereaved Survivor,37,23
Falkenrath Perforator,2,6
Abandon the Post,5,5
Vampire Interloper,30,14
Shady Traveler,28,13
Novice Occultist,16,14
No Way Out,21,9
Drownyard Amalgam,4,3
Baithook Angler,34,22
Homestead Courage,6,6
Timberland Guide,19,12
Famished Foragers,10,8
Bat Whisperer,6,9
Organ Hoarder,26,19
Falcon Abomination,23,19
Consider,14,7
Unruly Mob,24,9
Flare of Faith,16,7
Ambitious Farmhand,40,11
Silver Bolt,5,3
Hungry for More,11,9
Contortionist Troupe,29,15
Bounding Wolf,19,11
Purifying Dragon,24,14
Foul Play,25,15
Ecstatic Awakener,26,16
Crawl from the Cellar,26,9
Bloodtithe Collector,21,15
Mysterious Tome,8,6
Soul-Guide Gryff,12,9
Fleshtaker,13,8
Lambholt Harrier,16,7
Brimstone Vandal,10,8
Vengeful Strangler,18,12
Necrosynthesis,15,9
Morkrut Behemoth,16,8
Galedrifter,22,15
Firmament Sage,17,10
Gavony Dawnguard,19,9
Borrowed Time,25,10
Unnatural Moonrise,10,5
Rootcoil Creeper,16,12
Faithful Mending,7,6
Bladestitched Skaab,9,7
Pestilent Wolf,7,6
Hound Tamer,21,11
Eccentric Farmer,7,6
Clear Shot,19,10
Candlelit Cavalry,9,6
Obsessive Astronomer,22,10
Ardent Elementalist,14,4
Stromkirk Bloodthief,15,11
Morbid Opportunist,23,5
Graveyard Trespasser,9,4
Dreadhound,17,12
Diregraf Horde,20,6
Baneblade Scoundrel,25,9
Stormrider Spirit,19,6
Startle,11,4
Skaab Wrangler,5,6
Shipwreck Sifters,4,3
Sungold Barrage,11,2
Ritual of Hope,5,3
Loyal Gryff,3,3
Beloved Beggar,16,6
Winterthorn Blessing,8,6
Vampire Socialite,6,6
Sacred Fire,11,2
Rite of Oblivion,14,4
Diregraf Rebirth,2,3
Dawnhart Wardens,16,7
Corpse Cobble,11,6
Rise of the Ants,11,5
Outland Liberator,16,8
Harvesttide Sentry,12,9
Dawnhart Mentor,11,9
Burly Breaker,18,6
Bird Admirer,3,3
Voldaren Stinger,4,2
Thermo-Alchemist,9,7
Harvesttide Infiltrator,5,3
Covert Cutpurse,5,9
Unblinking Observer,5,3
Chaplain of Alms,7,5
Cathar Commando,11,4
Overgrown Farmland,8,6
Rem Karolus Stalwart Slayer,7,5
Liesa Forgotten Archangel,11,3
Join The Dance,2,14
Can't Stay Away,4,3
Turn the Earth,8,6
Tovolar's Huntmaster,12,5
Deathbonnet Sprout,14,2
Brood Weaver,4,3
Play with Fire,5,3
Lunar Frenzy,6,6
Flame Channeler,5,3
Slaughter Specialist,13,3
Jerren Corrupted Bishop,1,6
Infernal Grasp,8,4
Ghoulish Procession,4,3
Curse of Leeches,5,6
Phantom Carriage,5,6
Overwhelmed Archivist,11,4
Ominous Roost,4,3
Nebelgast Intruder,11,4
Locked in the Cemetery,5,3
Flip the Switch,8,4
Delver of Secrets,8,6
Curse of Surveillance,7,6
Sunset Revelry,3,3
Intrepid Adversary,9,6
Cathar's Call,3,3
Wake to Slaughter,7,0
Sigarda Champion of Light,4,3
Katilda Dawnhart Prime,3,3
Florian Voldaren Scion,1,3
Devoted Grafkeeper,4,3
Arlinn the Pack's Hope,5,3
Angelfire Ignition,4,2
Willow Geist,3,3
Saryth the Viper's Fang,5,3
Primal Adversary,4,3
Consuming Blob,7,2
Voldaren Ambusher,1,3
Reckless Stormseeker,1,3
Festival Crasher,4,2
Bloodthirsty Adversary,7,2
Tainted Adversary,4,3
Mask of Griselbrand,5,3
Patrician Geist,5,3
Sungold Sentinel,5,3
Duelcraft Trainer,3,3
