Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Ancestral Katana, W, C, 338047, 7.30, 33247, 10.90, 45451, 51.1, 7653, 50.4, 10958, 49.7, 18611, 50.0, 26858, 51.8, -1.8
Ao the Dawn Sky, W, M, 4476, 1.16, 3771, 1.15, 20595, 57.0, 3526, 62.2, 6101, 64.5, 9627, 63.6, 11005, 51.2, 12.4
Banishing Slash, W, U, 64172, 2.84, 18623, 3.40, 95822, 56.3, 15834, 56.9, 27267, 61.1, 43101, 59.6, 52764, 53.6, 5.9
Befriending the Moths, W, C, 296936, 4.90, 40646, 7.13, 151856, 53.1, 24250, 50.0, 41807, 55.5, 66057, 53.5, 85874, 52.8, 0.7
Blade-Blizzard Kitsune, W, U, 89961, 3.92, 14142, 5.42, 59604, 54.0, 10236, 54.5, 15819, 55.5, 26055, 55.1, 33583, 53.1, 2.0
Born to Drive, W, U, 108128, 4.89, 13848, 7.26, 41115, 53.6, 6895, 52.8, 11597, 57.2, 18492, 55.5, 22639, 52.0, 3.5
Brilliant Restoration, W, R, 26417, 3.34, 6444, 3.96, 24019, 54.5, 3602, 52.7, 7015, 59.6, 10617, 57.3, 13417, 52.4, 4.9
Cloudsteel Kirin, W, R, 12148, 1.62, 6693, 1.64, 34955, 54.7, 6134, 54.0, 9903, 60.3, 16037, 57.9, 18948, 51.9, 6.0
Dragonfly Suit, W, C, 334612, 7.05, 32907, 10.75, 48863, 51.9, 7979, 50.4, 12820, 53.0, 20799, 52.0, 28082, 51.8, 0.2
Eiganjo Exemplar, W, C, 290080, 5.36, 36915, 7.87, 140648, 52.9, 25158, 53.6, 34714, 52.5, 59872, 53.0, 80831, 52.9, 0.0
Era of Enlightenment, W, C, 282387, 4.54, 53337, 6.15, 257317, 55.5, 46223, 56.4, 71155, 56.8, 117378, 56.7, 140050, 54.6, 2.1
The Fall of Lord Konda, W, U, 109061, 3.43, 24879, 4.38, 119221, 55.6, 19775, 55.4, 33772, 59.7, 53547, 58.1, 65721, 53.5, 4.6
Farewell, W, R, 12833, 1.72, 7425, 1.68, 38023, 59.1, 6315, 63.7, 11090, 67.7, 17405, 66.2, 20635, 53.0, 13.2
Go-Shintai of Shared Purpose, W, U, 66248, 2.91, 17029, 3.62, 81232, 54.2, 13818, 52.8, 25867, 58.4, 39685, 56.5, 41603, 52.0, 4.4
Golden-Tail Disciple, W, C, 298262, 5.38, 43888, 7.81, 190338, 55.4, 33206, 55.3, 51986, 56.9, 85192, 56.3, 105228, 54.6, 1.7
Hotshot Mechanic, W, U, 117802, 5.51, 13906, 8.28, 37097, 54.1, 6533, 57.4, 9472, 52.8, 16005, 54.7, 21103, 53.7, 1.0
Imperial Oath, W, C, 269641, 5.39, 72951, 6.31, 338071, 56.8, 53983, 56.9, 98458, 62.4, 152441, 60.5, 185756, 53.8, 6.6
Imperial Recovery Unit, W, U, 97353, 4.35, 13795, 6.23, 46981, 53.4, 7833, 51.8, 12416, 53.8, 20249, 53.0, 26758, 53.6, -0.6
Imperial Subduer, W, C, 318994, 6.41, 31985, 9.72, 76942, 51.8, 13296, 50.6, 18808, 52.0, 32104, 51.4, 44867, 52.2, -0.8
Intercessor's Arrest, W, C, 194569, 3.34, 42792, 4.45, 225942, 54.7, 38013, 52.5, 68825, 57.7, 106838, 55.9, 119200, 53.7, 2.1
Invoke Justice, W, R, 21276, 2.76, 6337, 3.06, 25009, 54.2, 3862, 53.5, 7014, 58.4, 10876, 56.7, 14144, 52.3, 4.4
Kitsune Ace, W, C, 337546, 7.35, 33795, 11.03, 47239, 51.8, 8312, 51.2, 11885, 52.6, 20197, 52.0, 27062, 51.6, 0.4
Kyodai Soul of Kamigawa, WUBRG, R, 10598, 1.42, 7511, 1.41, 41080, 56.3, 7088, 58.6, 11740, 62.7, 18828, 61.1, 22288, 52.2, 9.0
Light the Way, W, C, 355263, 8.20, 35040, 12.19, 19275, 52.6, 2957, 51.0, 4982, 54.0, 7939, 52.9, 11347, 52.5, 0.4
Light-Paws Emperor's Voice, W, R, 30035, 3.89, 3949, 5.61, 4848, 51.8, 852, 50.9, 1171, 50.8, 2023, 50.9, 2825, 52.5, -1.6
Lion Sash, W, R, 11318, 1.54, 7042, 1.53, 36406, 55.6, 6601, 55.6, 10092, 60.6, 16693, 58.6, 19761, 53.2, 5.4
Lucky Offering, W, C, 355090, 8.40, 33915, 12.49, 9016, 51.8, 1482, 51.3, 2396, 55.6, 3878, 53.9, 5143, 50.2, 3.7
March of Otherworldly Light, W, R, 14684, 1.93, 6778, 2.00, 35153, 55.3, 5780, 54.8, 9870, 59.6, 15650, 57.9, 19517, 53.2, 4.6
