Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Adamant Will, W, C, 295359, 6.43, 35637, 9.55, 85208, 54.0, 15141, 52.6, 26755, 54.2, 41896, 53.6, 45677, 54.2, -0.6
Angelic Quartermaster, W, U, 45161, 2.57, 16266, 2.98, 74661, 56.2, 13348, 57.4, 25256, 59.0, 38604, 58.4, 39099, 54.2, 4.2
Arm the Cathars, W, U, 86848, 5.01, 11260, 7.23, 31485, 51.8, 5022, 48.8, 8922, 50.1, 13944, 49.7, 17938, 53.3, -3.7
Bride's Gown, W, U, 108971, 6.95, 11988, 10.44, 7225, 50.1, 1300, 46.2, 2087, 47.9, 3387, 47.2, 3914, 52.5, -5.2
By Invitation Only, W, R, 10535, 1.93, 5882, 1.88, 27086, 55.9, 4555, 55.9, 8348, 59.2, 12903, 58.1, 14512, 53.9, 4.1
Cemetery Protector, W, M, 3865, 1.43, 2602, 1.39, 12592, 55.3, 2086, 57.6, 3887, 57.5, 5973, 57.5, 6893, 53.6, 4.0
Circle of Confinement, W, U, 52192, 2.92, 16899, 3.49, 76547, 56.0, 15021, 57.0, 24061, 58.1, 39082, 57.7, 39907, 54.4, 3.3
Dawnhart Geist, W, U, 101787, 6.28, 12202, 9.30, 20710, 53.3, 4038, 51.5, 6493, 51.7, 10531, 51.6, 10896, 54.7, -3.0
Distracting Geist, W, U, 65403, 3.76, 13013, 4.85, 50338, 53.2, 9537, 51.1, 15082, 52.1, 24619, 51.7, 27252, 54.2, -2.6
Drogskol Infantry, W, C, 223853, 4.29, 49263, 5.69, 172096, 55.5, 44938, 56.3, 68061, 54.6, 112999, 55.3, 78330, 55.4, -0.1
Estwald Shieldbasher, W, C, 274982, 5.84, 30828, 8.79, 71455, 52.4, 13863, 50.7, 23703, 50.8, 37566, 50.8, 37647, 53.7, -3.0
Faithbound Judge, W, M, 3754, 1.35, 2749, 1.32, 14121, 57.8, 2557, 63.9, 4444, 59.4, 7001, 61.1, 7574, 54.5, 6.6
Fierce Retribution, W, C, 183313, 3.60, 41764, 4.62, 156049, 55.8, 35653, 54.5, 60543, 58.4, 96196, 57.0, 74348, 54.6, 2.4
Fleeting Spirit, W, U, 70392, 3.90, 15737, 5.00, 67258, 55.9, 13759, 58.0, 21346, 56.1, 35105, 56.9, 34990, 55.1, 1.7
Gryff Rider, W, C, 236485, 4.68, 34317, 6.62, 108387, 53.6, 25344, 52.4, 39508, 53.2, 64852, 52.9, 52697, 54.0, -1.2
Gryffwing Cavalry, W, U, 59957, 3.42, 11765, 4.34, 47473, 52.7, 8477, 49.8, 14612, 53.3, 23089, 52.0, 26034, 53.2, -1.2
Hallowed Haunting, W, M, 8053, 2.94, 2094, 3.25, 5482, 55.1, 906, 58.4, 1530, 57.6, 2436, 57.9, 3063, 52.9, 5.0
Heron of Hope, W, C, 244364, 4.83, 45416, 6.51, 147960, 55.7, 33921, 55.0, 64537, 57.1, 98458, 56.3, 68986, 55.1, 1.3
